r	z	sc	eng	energy_estimate
10.130000	0.640000	0.000000	4400.000000	0.980997
2.000000	1.280000	0.000000	4400.000000	0.953636
3.000000	1.280000	0.000000	4400.000000	0.942808
4.500000	1.280000	0.000000	4400.000000	0.946429
6.750000	1.280000	0.000000	4400.000000	0.982353
10.130000	1.280000	0.000000	4400.000000	0.988500
15.190000	1.280000	0.000000	4400.000000	0.992807
2.000000	2.560000	0.000000	4400.000000	0.966776
3.000000	2.560000	0.000000	4400.000000	0.964792
4.500000	2.560000	0.000000	4400.000000	0.969502
6.750000	2.560000	0.000000	4400.000000	0.984819
10.130000	2.560000	0.000000	4400.000000	0.991976
15.190000	2.560000	0.000000	4400.000000	0.991806
4.500000	0.020000	0.000000	4100.000000	0.926109
6.750000	0.020000	0.000000	4100.000000	0.973338
10.130000	0.020000	0.000000	4100.000000	0.970458
2.000000	0.040000	0.000000	4100.000000	0.966900
3.000000	0.040000	0.000000	4100.000000	0.955557
4.500000	0.040000	0.000000	4100.000000	0.924219
6.750000	0.040000	0.000000	4100.000000	0.968730
10.130000	0.040000	0.000000	4100.000000	0.967666
2.000000	0.080000	0.000000	4100.000000	0.960233
3.000000	0.080000	0.000000	4100.000000	0.946473
4.500000	0.080000	0.000000	4100.000000	0.920984
6.750000	0.080000	0.000000	4100.000000	0.974336
10.130000	0.080000	0.000000	4100.000000	0.946160
2.000000	0.160000	0.000000	4100.000000	0.951162
3.000000	0.160000	0.000000	4100.000000	0.933780
4.500000	0.160000	0.000000	4100.000000	0.917573
6.750000	0.160000	0.000000	4100.000000	0.979014
10.130000	0.160000	0.000000	4100.000000	0.960015
2.000000	0.320000	0.000000	4100.000000	0.949444
3.000000	0.320000	0.000000	4100.000000	0.930372
4.500000	0.320000	0.000000	4100.000000	0.916237
6.750000	0.320000	0.000000	4100.000000	0.980842
10.130000	0.320000	0.000000	4100.000000	0.973244
2.000000	0.640000	0.000000	4100.000000	0.949772
3.000000	0.640000	0.000000	4100.000000	0.931513
4.500000	0.640000	0.000000	4100.000000	0.925332
6.750000	0.640000	0.000000	4100.000000	0.981762
10.130000	0.640000	0.000000	4100.000000	0.980366
2.000000	1.280000	0.000000	4100.000000	0.953622
3.000000	1.280000	0.000000	4100.000000	0.942798
4.500000	1.280000	0.000000	4100.000000	0.946420
6.750000	1.280000	0.000000	4100.000000	0.982337
10.130000	1.280000	0.000000	4100.000000	0.988363
15.190000	1.280000	0.000000	4100.000000	0.992807
2.000000	2.560000	0.000000	4100.000000	0.966761
3.000000	2.560000	0.000000	4100.000000	0.964778
4.500000	2.560000	0.000000	4100.000000	0.969488
6.750000	2.560000	0.000000	4100.000000	0.984804
10.130000	2.560000	0.000000	4100.000000	0.991947
15.190000	2.560000	0.000000	4100.000000	0.991805
4.500000	0.020000	0.000000	3800.000000	0.926186
6.750000	0.020000	0.000000	3800.000000	0.972620
10.130000	0.020000	0.000000	3800.000000	0.969027
2.000000	0.040000	0.000000	3800.000000	0.966895
3.000000	0.040000	0.000000	3800.000000	0.955552
4.500000	0.040000	0.000000	3800.000000	0.924242
6.750000	0.040000	0.000000	3800.000000	0.968501
10.130000	0.040000	0.000000	3800.000000	0.915730
2.000000	0.080000	0.000000	3800.000000	0.960227
3.000000	0.080000	0.000000	3800.000000	0.946466
4.500000	0.080000	0.000000	3800.000000	0.920972
6.750000	0.080000	0.000000	3800.000000	0.974332
10.130000	0.080000	0.000000	3800.000000	0.950045
2.000000	0.160000	0.000000	3800.000000	0.951153
3.000000	0.160000	0.000000	3800.000000	0.933772
4.500000	0.160000	0.000000	3800.000000	0.917564
6.750000	0.160000	0.000000	3800.000000	0.978964
10.130000	0.160000	0.000000	3800.000000	0.960280
2.000000	0.320000	0.000000	3800.000000	0.949432
3.000000	0.320000	0.000000	3800.000000	0.930362
4.500000	0.320000	0.000000	3800.000000	0.916229
6.750000	0.320000	0.000000	3800.000000	0.980804
10.130000	0.320000	0.000000	3800.000000	0.972563
2.000000	0.640000	0.000000	3800.000000	0.949760
3.000000	0.640000	0.000000	3800.000000	0.931504
4.500000	0.640000	0.000000	3800.000000	0.925325
6.750000	0.640000	0.000000	3800.000000	0.981740
10.130000	0.640000	0.000000	3800.000000	0.980011
2.000000	1.280000	0.000000	3800.000000	0.953608
3.000000	1.280000	0.000000	3800.000000	0.942787
4.500000	1.280000	0.000000	3800.000000	0.946411
6.750000	1.280000	0.000000	3800.000000	0.982322
10.130000	1.280000	0.000000	3800.000000	0.988214
15.190000	1.280000	0.000000	3800.000000	0.992807
2.000000	2.560000	0.000000	3800.000000	0.966746
3.000000	2.560000	0.000000	3800.000000	0.964764
4.500000	2.560000	0.000000	3800.000000	0.969475
6.750000	2.560000	0.000000	3800.000000	0.984789
10.130000	2.560000	0.000000	3800.000000	0.991918
15.190000	2.560000	0.000000	3800.000000	0.991805
4.500000	0.020000	0.000000	3500.000000	0.926275
6.750000	0.020000	0.000000	3500.000000	0.971441
10.130000	0.020000	0.000000	3500.000000	0.967360
2.000000	0.040000	0.000000	3500.000000	0.966891
3.000000	0.040000	0.000000	3500.000000	0.955547
4.500000	0.040000	0.000000	3500.000000	0.924268
6.750000	0.040000	0.000000	3500.000000	0.968264
10.130000	0.040000	0.000000	3500.000000	0.918203
2.000000	0.080000	0.000000	3500.000000	0.960221
3.000000	0.080000	0.000000	3500.000000	0.946460
4.500000	0.080000	0.000000	3500.000000	0.920961
6.750000	0.080000	0.000000	3500.000000	0.974325
10.130000	0.080000	0.000000	3500.000000	0.951539
2.000000	0.160000	0.000000	3500.000000	0.951144
3.000000	0.160000	0.000000	3500.000000	0.933764
4.500000	0.160000	0.000000	3500.000000	0.917556
6.750000	0.160000	0.000000	3500.000000	0.978902
10.130000	0.160000	0.000000	3500.000000	0.959264
2.000000	0.320000	0.000000	3500.000000	0.949421
3.000000	0.320000	0.000000	3500.000000	0.930353
4.500000	0.320000	0.000000	3500.000000	0.916221
6.750000	0.320000	0.000000	3500.000000	0.980761
10.130000	0.320000	0.000000	3500.000000	0.971868
2.000000	0.640000	0.000000	3500.000000	0.949748
3.000000	0.640000	0.000000	3500.000000	0.931495
4.500000	0.640000	0.000000	3500.000000	0.925319
6.750000	0.640000	0.000000	3500.000000	0.981717
10.130000	0.640000	0.000000	3500.000000	0.979617
2.000000	1.280000	0.000000	3500.000000	0.953595
3.000000	1.280000	0.000000	3500.000000	0.942777
4.500000	1.280000	0.000000	3500.000000	0.946402
6.750000	1.280000	0.000000	3500.000000	0.982307
10.130000	1.280000	0.000000	3500.000000	0.988047
15.190000	1.280000	0.000000	3500.000000	0.992807
2.000000	2.560000	0.000000	3500.000000	0.966731
3.000000	2.560000	0.000000	3500.000000	0.964750
4.500000	2.560000	0.000000	3500.000000	0.969461
6.750000	2.560000	0.000000	3500.000000	0.984774
10.130000	2.560000	0.000000	3500.000000	0.991886
15.190000	2.560000	0.000000	3500.000000	0.991804
4.500000	0.020000	0.000000	3200.000000	0.926378
6.750000	0.020000	0.000000	3200.000000	0.969636
10.130000	0.020000	0.000000	3200.000000	0.964681
2.000000	0.040000	0.000000	3200.000000	0.966888
3.000000	0.040000	0.000000	3200.000000	0.955542
4.500000	0.040000	0.000000	3200.000000	0.924296
6.750000	0.040000	0.000000	3200.000000	0.968059
10.130000	0.040000	0.000000	3200.000000	0.917745
2.000000	0.080000	0.000000	3200.000000	0.960215
3.000000	0.080000	0.000000	3200.000000	0.946454
4.500000	0.080000	0.000000	3200.000000	0.920949
6.750000	0.080000	0.000000	3200.000000	0.974312
10.130000	0.080000	0.000000	3200.000000	0.949661
2.000000	0.160000	0.000000	3200.000000	0.951135
3.000000	0.160000	0.000000	3200.000000	0.933756
4.500000	0.160000	0.000000	3200.000000	0.917548
6.750000	0.160000	0.000000	3200.000000	0.978831
10.130000	0.160000	0.000000	3200.000000	0.958634
2.000000	0.320000	0.000000	3200.000000	0.949410
3.000000	0.320000	0.000000	3200.000000	0.930344
4.500000	0.320000	0.000000	3200.000000	0.916214
6.750000	0.320000	0.000000	3200.000000	0.980713
10.130000	0.320000	0.000000	3200.000000	0.970208
2.000000	0.640000	0.000000	3200.000000	0.949736
3.000000	0.640000	0.000000	3200.000000	0.931486
4.500000	0.640000	0.000000	3200.000000	0.925313
6.750000	0.640000	0.000000	3200.000000	0.981694
10.130000	0.640000	0.000000	3200.000000	0.979165
2.000000	1.280000	0.000000	3200.000000	0.953582
3.000000	1.280000	0.000000	3200.000000	0.942766
4.500000	1.280000	0.000000	3200.000000	0.946393
6.750000	1.280000	0.000000	3200.000000	0.982293
10.130000	1.280000	0.000000	3200.000000	0.987852
15.190000	1.280000	0.000000	3200.000000	0.992807
2.000000	2.560000	0.000000	3200.000000	0.966716
