# iter time(ns) max_DgradR max_DgradZ max_vRrho max_vZrho
70 5.259 5.8175102297e-02 7.8851750971e-02 1.8255392533e+01 1.6940625194e+01
71 5.336 5.7371472652e-02 7.7811756585e-02 1.8004211013e+01 1.6707533960e+01
72 5.414 5.5756154778e-02 7.5764075462e-02 1.7541875296e+01 1.6278496015e+01
73 5.491 5.4497369135e-02 7.3962793363e-02 1.7501354670e+01 1.6218611754e+01
74 5.568 5.3987775256e-02 7.3414761755e-02 1.7286548099e+01 1.6019549199e+01
75 5.646 5.2594895547e-02 7.1931854648e-02 1.6877503507e+01 1.5639158365e+01
76 5.723 5.1296849439e-02 7.0504826953e-02 1.6804776600e+01 1.5551890541e+01
77 5.800 5.0897094596e-02 6.9245583101e-02 1.6621978856e+01 1.5382721349e+01
78 5.878 4.9827280438e-02 6.8266395048e-02 1.6268555907e+01 1.5045341991e+01
79 5.955 4.8638102044e-02 6.7263055542e-02 1.6159122343e+01 1.4934178320e+01
80 6.032 4.8074856541e-02 6.5325644934e-02 1.6004634190e+01 1.4791401159e+01
81 6.110 4.7272567694e-02 6.4772317949e-02 1.5700031353e+01 1.4492218835e+01
82 6.187 4.6184074532e-02 6.4140551185e-02 1.5558808941e+01 1.4360105270e+01
83 6.265 4.5480753592e-02 6.2618458603e-02 1.5429476275e+01 1.4240736834e+01
84 6.342 4.4905977558e-02 6.1445383576e-02 1.5167882607e+01 1.3981983103e+01
85 6.419 4.3905717418e-02 6.1138855169e-02 1.4999046994e+01 1.3825065362e+01
86 6.497 4.3090467304e-02 5.9986933428e-02 1.4892182266e+01 1.3726564981e+01
87 6.574 4.2709956072e-02 5.8451794981e-02 1.4668580895e+01 1.3503806160e+01
88 6.651 4.1787234105e-02 5.8258938949e-02 1.4510504899e+01 1.3358282362e+01
89 6.729 4.0883211253e-02 5.7435132139e-02 1.4388906691e+01 1.3245187456e+01
90 6.806 4.0668670634e-02 5.6254344647e-02 1.4199011096e+01 1.3054343260e+01
91 6.883 3.9890003213e-02 5.5498357585e-02 1.4063478755e+01 1.2929736997e+01
92 6.961 3.9093832836e-02 5.4966916040e-02 1.3916415751e+01 1.2793487241e+01
93 7.038 3.8768051678e-02 5.4100934458e-02 1.3756514504e+01 1.2631027142e+01
94 7.115 3.8165100486e-02 5.3054539712e-02 1.3641329549e+01 1.2525266028e+01
95 7.193 3.7415420687e-02 5.2582655653e-02 1.3471800569e+01 1.2368667163e+01
96 7.270 3.6995478362e-02 5.1996909888e-02 1.3338602988e+01 1.2231462001e+01
97 7.347 3.6545928976e-02 5.1207216621e-02 1.3241957849e+01 1.2142838676e+01
98 7.425 3.5837797580e-02 5.0282247557e-02 1.3052529954e+01 1.1968289425e+01
99 7.502 3.5339542562e-02 4.9945501569e-02 1.2943177667e+01 1.1853624900e+01
100 7.579 3.5024256453e-02 4.9388862138e-02 1.2863390898e+01 1.1780554557e+01
101 7.657 3.4352992619e-02 4.8276264084e-02 1.2674083756e+01 1.1607183233e+01
102 7.734 3.3790037188e-02 4.7948729650e-02 1.2568356361e+01 1.1495700245e+01
103 7.811 3.3592287574e-02 4.7603253738e-02 1.2503945485e+01 1.1436786565e+01
104 7.889 3.2989389559e-02 4.6721709795e-02 1.2335846670e+01 1.1283034274e+01
